"Attitude is a little thing that makes a big difference.";Sir Winston Leonard Spencer Churchill
"Difficulties mastered are opportunities won.";Sir Winston Leonard Spencer Churchill
"Kites rise highest against the wind - not with it.";Sir Winston Leonard Spencer Churchill
"The price of greatness is responsibility.";Sir Winston Leonard Spencer Churchill
"If you're going through hell, keep going.";Sir Winston Leonard Spencer Churchill
"I never worry about action, but only inaction.";Sir Winston Leonard Spencer Churchill
"When the eagles are silent, the parrots begin to jabber.";Sir Winston Leonard Spencer Churchill
Put your trust in God, but keep your powder dry.;Oliver Cromwell
Folks who have no vices have very few virtues.;Abraham Lincoln
He who stops being better stops being good.;Oliver Cromwell
Do not trust to the cheering, for those very persons would shout as much if you and I were going to be hanged.;Oliver Cromwell
